,1. open,2. high,3. low,4. close,5. volume
2014-12-31,206.4,212.97,197.86,205.54,3045170856.0
2015-01-30,206.38,206.88,198.55,199.45,3183506003.0
2015-02-27,200.05,212.24,197.86,210.66,1901638015.0
2015-03-31,210.78,212.06,204.12,206.43,2749923097.0
2015-04-30,206.43,212.48,204.51,208.46,2036685271.0
2015-05-29,209.4,213.78,206.76,211.14,1892519799.0
2015-06-30,211.94,213.34,205.28,205.89,2535242753.0
2015-07-31,207.73,213.18,204.11,210.45,2452757863.0
2015-08-31,210.46,211.31,182.4,197.54,3734845150.0
2015-09-30,193.12,202.89,186.93,191.59,3279512868.0
2015-10-30,192.08,209.44,189.12,207.93,2536184532.0
2015-11-30,208.32,211.66,202.18,208.69,1924512621.0
2015-12-31,209.44,211.0,199.83,203.87,2924836766.0
2016-01-29,200.49,201.9,181.02,193.72,3702344700.0
2016-02-29,192.53,196.68,181.09,193.56,2920730800.0
2016-03-31,195.01,206.87,194.45,205.52,2323306500.0
2016-04-29,204.35,210.92,203.09,206.33,1903382300.0
2016-05-31,206.92,210.69,202.78,209.84,1812964000.0
2016-06-30,209.12,212.52,198.65,209.48,2612406900.0
2016-07-29,209.48,217.54,207.06,217.12,1648453700.0
2016-08-31,217.19,219.6,214.25,217.38,1519703200.0
2016-09-30,217.37,219.22,212.31,216.3,2292393000.0
2016-10-31,215.82,216.7,211.21,212.55,1725687400.0
2016-11-30,212.93,221.82,208.38,220.38,2062615100.0
2016-12-30,220.73,228.34,219.15,223.53,1821463800.0
2017-01-31,225.04,229.71,223.88,227.53,1482408500.0
2017-02-28,227.53,237.31,226.82,236.47,1365136600.0
2017-03-31,238.39,240.32,231.61,235.74,1921474100.0
2017-04-28,235.8,239.53,232.51,238.08,1549613700.0
2017-05-31,238.68,242.08,235.43,241.44,1489321600.0
2017-06-30,241.97,245.01,239.96,241.8,1555272400.0
2017-07-31,242.88,248.0,240.34,246.77,1060192538.0
2017-08-31,247.46,248.91,241.83,247.49,1556592441.0
2017-09-29,247.92,251.32,244.95,251.23,1286405280.0
2017-10-31,251.49,257.89,251.29,257.15,1320624558.0
2017-11-30,258.04,266.05,255.63,265.01,1364516581.0
2017-12-29,264.76,268.6,260.76,266.86,1715222830.0
2018-01-31,267.84,286.63,267.4,281.9,1996090155.0
2018-02-28,281.07,283.06,252.92,271.65,2923721958.0
2018-03-29,271.41,280.41,257.83,263.15,2336204952.0
2018-04-30,262.55,271.3,254.67,264.51,2000427231.0
2018-05-31,263.87,274.25,259.05,270.94,1606397329.0
2018-06-29,272.41,279.48,268.49,271.28,1600700314.0
2018-07-31,269.51,284.37,269.24,281.33,1266961027.0
2018-08-31,281.56,291.74,279.16,290.31,1308443632.0
2018-09-28,289.84,293.94,286.71,290.72,1228083461.0
2018-10-31,292.11,293.21,259.85,270.63,3024346032.0
2018-11-30,271.6,281.22,263.07,275.65,2021061342.0
2018-12-31,280.28,280.4,233.76,249.92,3102621849.0
2019-01-31,245.98,270.47,243.67,269.93,2048691645.0
2019-02-28,270.15,281.31,267.83,278.68,1371716235.0
2019-03-29,280.44,285.18,272.42,282.48,1678081316.0
2019-04-30,284.7,294.45,284.4,294.02,1209204906.0
2019-05-31,294.72,294.95,275.24,275.27,1845593139.0
2019-06-28,275.31,296.31,273.09,293.0,1340435548.0
2019-07-31,296.68,302.23,294.33,297.43,1135591762.0
2019-08-30,297.6,300.87,281.72,292.45,2038348125.0
2019-09-30,290.57,302.63,289.27,296.77,1322797499.0
2019-10-31,297.74,304.55,284.82,303.33,1404743524.0
2019-11-29,304.92,315.48,304.74,314.31,1035047008.0
2019-12-31,314.59,323.8,307.13,321.86,1281220574.0
2020-01-31,323.54,332.95,320.36,321.73,1389179454.0
2020-02-28,323.35,339.08,285.54,296.26,2099672006.0
2020-03-31,298.21,313.84,218.26,257.75,5888710884.0
2020-04-30,247.98,294.88,243.9,290.48,2798273802.0
2020-05-29,285.31,306.84,272.99,304.32,1901783412.0
2020-06-30,303.62,323.41,296.74,308.36,2347940437.0
2020-07-31,309.57,327.23,309.07,326.52,1502719470.0
2020-08-31,328.32,351.3,327.73,349.31,1044798905.0
2020-09-30,350.21,358.75,319.8,334.89,1815146487.0
2020-10-30,337.69,354.02,322.6,326.54,1629408336.0
2020-11-30,330.2,364.38,327.24,362.06,1534447743.0
2020-12-31,365.57,378.46,362.03,373.88,1342397107.0
2021-01-29,375.31,385.85,364.82,370.07,1400691918.0
2021-02-26,373.72,394.17,370.376,380.36,1297509572.0
2021-03-31,385.59,398.12,371.88,396.33,2401881132.0
2021-04-30,398.4,420.72,398.18,417.3,1462173411.0
2021-05-28,419.43,422.815,404.0,420.04,1527034281.0
2021-06-30,422.57,428.78,414.7,428.06,1281016394.0
2021-07-30,428.87,441.8,421.97,438.51,1420579578.0
2021-08-31,440.34,453.07,436.1,451.56,1253428256.0
2021-09-30,452.56,454.05,428.78,429.14,1745953627.0
2021-10-29,430.98,459.56,426.36,459.25,1508665331.0
2021-11-30,460.3,473.54,455.3,455.56,1329958701.0
2021-12-31,461.64,479.0,448.92,474.96,1926485453.0
2022-01-31,476.3,479.98,420.76,449.91,2478637614.0
2022-02-28,450.68,458.12,410.64,436.63,2295905184.0
2022-03-31,435.04,462.07,415.12,451.64,2374192157.0
2022-04-29,453.31,457.83,411.21,412.0,1850850552.0
2022-05-31,412.07,429.66,380.54,412.93,2415337241.0
2022-06-30,415.17,417.44,362.17,377.25,1958752731.0
2022-07-29,376.56,413.03,371.04,411.99,1437748370.0
2022-08-31,409.15,431.73,395.04,395.18,1442452663.0
2022-09-30,392.89,411.73,357.04,357.18,1995062808.0
2022-10-31,361.08,389.52,348.11,386.21,2024731829.0
2022-11-30,390.14,407.68,368.79,407.68,1746114943.0
2022-12-30,408.77,410.49,374.77,382.43,1735973711.0
2023-01-31,384.37,408.16,377.831,406.48,1575449950.0
2023-02-28,405.211,418.31,393.64,396.26,1603224252.0
2023-03-31,395.41,409.7,380.65,409.39,2516860295.0
2023-04-28,408.85,415.94,403.78,415.93,1392713656.0
2023-05-31,415.47,422.58,403.74,417.85,1776447412.0
2023-06-30,418.09,444.3,416.79,443.28,1749958214.0
2023-07-31,442.92,459.44,437.06,457.79,1374774872.0
2023-08-31,456.27,457.25,433.01,450.35,1755315375.0
2023-09-29,453.17,453.67,422.29,427.48,1589390585.0
2023-10-31,426.62,438.14,409.21,418.2,1999352275.0
2023-11-30,419.2,458.32,418.6499,456.4,1500345254.0
2023-12-29,455.77,477.55,454.31,475.31,1634337932.0
2024-01-31,472.16,491.62,466.43,482.88,1698148385.0
2024-02-29,484.63,510.13,483.8,508.08,1393617806.0
2024-03-28,508.98,524.61,504.91,523.07,1463191348.0
2024-04-30,523.83,524.38,493.86,501.98,1586426473.0
2024-05-31,501.38,533.07,499.55,527.37,1153296957.0
2024-06-28,529.02,550.28,522.6,544.22,888923206.0
2024-07-31,545.63,565.16,537.45,550.81,1038489736.0
2024-08-30,552.57,564.2,510.27,563.68,1244598926.0
2024-09-27,560.47,574.71,539.44,571.47,980511626.0
